Trade_ID,Date,Symbol,Strategy,Status,Entry_Price,Cost_Credit_USD,Realized_PnL_USD,Exit_Reason,Close_Date
ORD-1787892988,2026-08-28,MSFT,THETA_IRON_CONDOR,CLOSED_PROFIT,505.0,250.0,125.0,"Profit target achieved (+$125.00, +50.0%).",2026-08-28
ORD-1787892989,2026-08-28,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,355.0,2486.0,-150.0,Hard stop-loss triggered (-$497.20 <= -$150.00).,2026-08-28
ORD-1787901197,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,227.98,1596.0,-150.0,Hard stop-loss triggered (-$319.20 <= -$150.00).,2026-08-28
ORD-1787901320,2026-08-28,MSFT,THETA_IRON_CONDOR,CLOSED_PROFIT,505.06,250.0,125.0,"Profit target achieved (+$125.00, +50.0%).",2026-08-28
ORD-1787902736,2026-08-28,AAPL,EARNINGS_STRADDLE,CLOSED_STOPPED,314.58,2202.0,-150.0,Hard stop-loss triggered (-$440.40 <= -$150.00).,2026-08-28
ORD-1787903424,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,227.98,1596.0,-150.0,Hard stop-loss triggered (-$319.20 <= -$150.00).,2026-08-28
ORD-1787903437,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,227.98,1596.0,-150.0,Hard stop-loss triggered (-$319.20 <= -$150.00).,2026-08-28
ORD-1787903556,2026-08-28,AAPL,EARNINGS_STRADDLE,CLOSED_STOPPED,314.58,2202.0,-150.0,Hard stop-loss triggered (-$440.40 <= -$150.00).,2026-08-28
ORD-1787904040,2026-08-28,AAPL,EARNINGS_STRADDLE,CLOSED_STOPPED,314.58,2202.0,-150.0,Hard stop-loss triggered (-$440.40 <= -$150.00).,2026-08-28
ORD-1787904442,2026-08-28,AAPL,EARNINGS_STRADDLE,CLOSED_STOPPED,314.58,2202.0,-150.0,Hard stop-loss triggered (-$440.40 <= -$150.00).,2026-08-28
ORD-1787904660,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,227.98,1596.0,-150.0,Hard stop-loss triggered (-$319.20 <= -$150.00).,2026-08-28
ORD-1787905576,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,227.98,1596.0,-150.0,Hard stop-loss triggered (-$319.20 <= -$150.00).,2026-08-28
ORD-1787917364,2026-08-28,NVDA,EARNINGS_STRADDLE,CLOSED,220.15,1542.0,0.0,CLEAN_SLATE_RESET,
ORD-1787917995,2026-08-28,AAPL,EARNINGS_STRADDLE,CLOSED,320.96,2246.0,0.0,CLEAN_SLATE_RESET,
ORD-1787926727,2026-08-29,AAPL,EARNINGS_STRADDLE,CLOSED_0DTE_RISK,319.8,2238.0,-55.0,Friday 3:30 PM EST reached. Closing near-the-money options to avoid weekend stock assignment.,
ORD-1787931128,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787931524,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787931663,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787931734,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787932031,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787932955,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787933275,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_STOPPED,348.75,2442.0,-150.0,Hard stop-loss triggered (-$488.40 <= -$150.00).,2026-08-29
ORD-1787933705,2026-08-29,TSLA,EARNINGS_STRADDLE,CLOSED_PROFIT,348.75,2442.0,1221.0,"Profit target achieved (+$1221.00, +50.0%).",2026-08-29
ORD-1787967288,2026-08-29,NVDA,EARNINGS_STRADDLE,CLOSED_STOPPED,200.0,1400.0,-150.0,Hard stop-loss triggered (-$280.00 <= -$150.00).,2026-08-29
ORD-1788165052,2026-08-31,AAPL,THETA_IRON_CONDOR,CLOSED_STOPPED,319.7,250.0,-150.0,Hard stop-loss triggered (-$154.00 <= -$150.00).,2026-08-31
